name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d,active
Denis Shapovalov,2026-04-17,1615.5326340769052,1658.1369928964314,1519.2500263867507,1533.7535511894937,1596.7370471200534,0.425,0.55,0.4688308750357153,0.4990222126730444,0.4350052420428747,0.4128113072401286,-1.0,5.735860368536966,5.76636337981557,True
Alexis Galarneau,2026-04-24,1600.4546967515996,1600.4546967515996,1579.1110290123665,1500.0,1498.0486692193435,0.5977959727780876,0.5,0.3966666666666666,0.5550732529056658,0.5661747179637792,0.5661747179637792,-1.0,43.49999999999999,2.1173191660942505,True
Zizou Bergs,2026-04-15,1599.3979872277198,1603.4049449854526,1502.067456474466,1485.7684840403638,1501.2515277052382,0.4956971153846153,0.4,0.4181150230771248,0.4423092459916778,0.4865401422734113,0.4847634173132802,-1.0,8.589987971159363,6.067231789438369,True
Alexei Popyrin,2026-04-25,1598.5554577361734,1689.5791058487168,1509.5384546822072,1457.0856821420443,1607.9760758601474,0.40476190476190477,0.3571428571428571,0.288236498125,0.4892374634049455,0.4990222126730444,0.4990222126730444,-1.0,10.074818176744188,3.893888080393749,True
Hamad Medjedovic,2026-04-18,1596.3457202323757,1596.3457202323757,1517.9398610729145,1493.181152626678,1565.2455855668984,0.5517107142857143,0.4285714285714285,0.5295599609374999,0.5469784062660992,0.5724908039831551,0.5314334720000001,-1.0,14.777333682727273,4.092215578535063,True
Kamil Majchrzak,2026-03-22,1595.3501792663371,1600.8324318392442,1492.4693327046054,1521.4685311694086,1548.8262777220195,0.45,0.5294117647058824,0.5191485003396737,0.5176212991055236,0.5491338952704,0.5272064000000001,-1.0,12.507295547169807,4.544095749025606,True
Tallon Griekspoor,2026-04-14,1592.7191563886977,1685.0868359298458,1495.5906064695353,1545.877513522213,1571.7729506353,0.391,0.5675675675675675,0.5147806589843749,0.4891674980073972,0.3491872497414963,0.31739904,-2.0,10.510577876065575,2.389636230802399,True
Alvaro Lopez San Martin,2026-04-26,1591.1614928543297,1591.1614928543297,1498.8780958776151,1500.0,1500.0,0.40090909090909094,0.5,0.5,0.48958413269942036,0.4891674980073972,0.4891674980073972,-1.0,30.0,3.0,True
Jaume Munar,2026-04-13,1588.7402164762975,1604.2546866717532,1493.4629214921954,1492.1106708357877,1453.6795384126892,0.4163265306122449,0.4347826086956521,0.5427660520833333,0.4673072498248974,0.51940637179904,0.5225779200000001,-1.0,11.877769996753248,1.830945931964228,True
Brandon Nakashima,2026-04-16,1587.8636125406738,1677.9955988685522,1510.135913183016,1536.3191677626578,1583.4289378164767,0.4778030303030302,0.5384615384615384,0.4205888817652924,0.492944184268077,0.4346872675051765,0.4084338688000001,-1.0,9.115056916901638,3.300753378770545,True
Jenson Brooksby,2026-03-18,1583.9519301246614,1663.4573790569232,1490.2483048227878,1525.1555778976972,1585.410766255217,0.4117647058823529,0.5416666666666666,0.3396933695833333,0.4554400389493332,0.3715704520704,0.2852864,-2.0,8.832958290697674,3.642389174923718,True
