name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Benjamin Hassan,2024-10-14,1492.5551546198133,1505.036655598964,1512.5686274432544,1500.0,1476.0996258740092,0.5263157894736842,0.5,0.4,0.46153846153846156,0.4,0.6,-1,31.5625,1
Benjamin Lock,2024-02-03,1465.9165585078924,1488.827046919219,1491.0,1500.0,1482.8035192649368,0.45454545454545453,0.5,0.4166666666666667,0.38461538461538464,0.0,0.0,-3,50.0,1
Benoit Paire,2024-07-15,1337.0653847084368,1488.0,1387.0418786204896,1467.2728923529755,1417.744831568571,0.27906976744186046,0.375,0.32653061224489793,0.27586206896551724,0.2,0.4,1,11.818181818181818,1
Bernabe Zapata Miralles,2024-03-04,1402.3155333302484,1552.6173493704948,1509.6710184306567,1450.083402433488,1384.2097026180577,0.49230769230769234,0.3125,0.2857142857142857,0.3786407766990291,0.1,0.0,-5,11.21505376344086,6
Bernard Tomic,2021-02-08,1511.9856905714691,1511.9856905714691,1500.0,1500.0,1499.5763021242556,0.5,0.5,0.5,0.5454545454545454,0.5,0.5,1,30.0,1
Billy Harris,2025-07-03,1513.7470638894167,1555.0897319676164,1500.0,1510.076665776408,1490.9780326869588,0.5,0.5454545454545454,0.4666666666666667,0.5185185185185185,0.4,0.4,-1,15.235294117647058,2
Bjorn Fratangelo,2023-07-31,1475.417052779465,1512.0,1485.7364332970394,1500.0,1490.2397200849655,0.4166666666666667,0.5,0.47058823529411764,0.42105263157894735,0.3333333333333333,0.2,-3,36.22222222222222,1
Blaise Bicknell,2024-02-03,1519.487043703871,1521.2991047622384,1490.539864680946,1500.0,1518.1851517756681,0.46153846153846156,0.5,0.5833333333333334,0.5625,0.6666666666666666,0.6,1,35.0,1
Blake Mott,2021-02-01,1488.0,1488.0,1500.0,1500.0,1491.0,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
Blaz Rola,2023-09-15,1487.153528269871,1487.5714076300158,1508.5938957651213,1500.0,1490.7608817045066,0.5384615384615384,0.5,0.45454545454545453,0.46153846153846156,0.3333333333333333,0.3333333333333333,1,50.0,1
Bor Artnak,2023-09-15,1487.5415045345972,1512.3834040508646,1491.1281663431666,1500.0,1500.0,0.4666666666666667,0.5,0.5,0.4666666666666667,0.4,0.4,-2,54.0,1
Boris Arias,2024-02-03,1512.0,1512.0,1509.0,1500.0,1500.0,0.5454545454545454,0.5,0.5,0.5454545454545454,0.5,0.5,1,30.0,1
Borna Coric,2024-10-14,1531.7957399756,1671.6018643185494,1512.3522835543893,1476.2650161512086,1539.5842259654983,0.48717948717948717,0.4,0.5555555555555556,0.5284552845528455,0.4,0.4,1,8.88495575221239,2
Borna Gojo,2024-09-13,1550.3944355673018,1572.2687358865103,1490.5418655584206,1481.3740244552,1545.6867447234868,0.46153846153846156,0.4166666666666667,0.5348837209302325,0.5,0.5,0.4,1,21.473684210526315,1
Botic van de Zandschulp,2025-07-03,1505.6699114488338,1666.2466412582387,1519.2165080314592,1499.006115814881,1535.4859793786063,0.5192307692307693,0.4838709677419355,0.5149253731343284,0.5126903553299492,0.5,0.6,-1,7.754010695187166,2
Bradley Klahn,2023-07-31,1476.2408161158385,1488.2535595715212,1500.0,1500.0,1482.3801612288187,0.5,0.5,0.4166666666666667,0.4166666666666667,0.5,0.5,-2,45.0,1
Brandon Holt,2025-07-01,1451.3337416546315,1518.6759309468248,1500.0,1490.4054729634358,1465.4315655183013,0.5,0.45454545454545453,0.3684210526315789,0.35,0.2,0.0,-6,34.0,1
Brandon Nakashima,2025-07-31,1613.6716509094217,1678.0269742318353,1502.6414015513044,1527.1902267168348,1570.066279505561,0.48484848484848486,0.5384615384615384,0.5522388059701493,0.543010752688172,0.4,0.6,-1,7.4147727272727275,4
Brandon Perez,2021-09-18,1490.6792503716263,1490.6792503716263,1500.0,1500.0,1492.552512784425,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
Branko Djuric,2024-11-04,1485.6646481213768,1485.6646481213768,1500.0,1500.0,1489.717028309856,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
Brayden Schnur,2022-01-03,1441.0574355859947,1487.5710127740433,1500.0,1491.0,1465.506318840287,0.5,0.45454545454545453,0.35714285714285715,0.3333333333333333,0.0,0.0,-5,39.2,1
Bu Yunchaokete,2025-07-29,1546.2447823603352,1579.3594302584197,1490.759607200046,1491.5074864743754,1538.9313495229558,0.45454545454545453,0.45454545454545453,0.5357142857142857,0.5,0.5,0.4,-3,15.4,2
Caleb Chakravarthi,2022-02-07,1485.9712009339798,1485.9712009339798,1500.0,1500.0,1489.7313404663473,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
Calvin Hemery,2023-11-06,1484.809005463908,1484.809005463908,1500.0,1500.0,1489.938358509111,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
Cameron Norrie,2025-07-29,1625.270666584913,1778.0016123215908,1613.6595756543236,1575.40630466694,1578.1822443643575,0.6511627906976745,0.6190476190476191,0.5864197530864198,0.6185185185185185,0.7,0.6,-2,5.707692307692308,6
Camilo Ugo Carabelli,2025-07-01,1456.3865203742828,1517.4515563007637,1482.1294071465884,1491.8663039397775,1485.3972293497677,0.42857142857142855,0.45454545454545453,0.4166666666666667,0.375,0.2,0.2,-4,27.571428571428573,1
Carlos Alcaraz,2025-07-13,1948.3091401273452,1997.9289289887574,1794.651998472776,1694.2342279146633,1810.3919309364644,0.794392523364486,0.7954545454545454,0.7315436241610739,0.7821428571428571,0.7,0.8,-1,5.3,7
Carlos Gimeno Valero,2022-05-02,1491.9843679548223,1491.9843679548223,1490.6030740096683,1500.0,1500.0,0.45454545454545453,0.5,0.5,0.45454545454545453,0.5,0.5,-1,30.0,1
Carlos Taberner,2024-04-15,1420.509468350944,1500.3259689517417,1448.5912322880565,1490.105075250748,1485.9121574643866,0.3939393939393939,0.45454545454545453,0.4444444444444444,0.38095238095238093,0.1,0.0,-8,19.15625,1
Casper Ruud,2025-08-02,1688.2658940066983,1846.4010767250438,1755.4029658190316,1490.2731583483344,1610.8041392087962,0.7681159420289855,0.47619047619047616,0.6125,0.6822742474916388,0.4,0.4,-1,5.086505190311419,3
Cayetano March,2022-03-04,1487.3103327114884,1487.3103327114884,1500.0,1500.0,1490.7490448229603,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
