name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Stylianos Christodoulou,2024-02-03,1500.414300586377,1500.414300586377,1491.0,1500.0,1509.0,0.425,0.5,0.575,0.5018,0.5072,0.52,1.0,24.0,1.1173191660942507
Peter Bertran,2022-09-16,1500.4121637541934,1500.4121637541934,1500.0,1500.0,1500.238888884444,0.5,0.5,0.51125,0.5018,0.5072,0.52,1.0,18.0,2.0
David Jorda Sanchis,2024-04-01,1500.395047749227,1512.0,1500.0021047580587,1500.0,1500.0,0.48874999999999996,0.5,0.5,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Ryan Peniston,2023-07-03,1500.2462311859695,1547.3918442099978,1500.0,1496.73213373232,1490.5491377064423,0.5,0.37338821464568334,0.425,0.44479671059604814,0.36882422953694183,0.27363833282560013,-3.0,15.932393771920001,3.114410990989969
Martin Landaluce,2026-03-22,1500.054064779086,1500.054064779086,1464.2147097975717,1500.0,1524.824272939735,0.26100312499999995,0.5,0.6527506953125,0.4801157439108097,0.5135069784187811,0.5941158912000001,3.0,23.97702044,3.0409896066546147
Aziz Ouakaa,2021-11-26,1500.0142917836072,1500.0142917836072,1509.0,1500.0,1490.7669153919285,0.575,0.5,0.425,0.5018,0.5072,0.52,1.0,24.0,1.1173191660942507
Justin Barki,2021-09-17,1500.0,1512.0,1500.0,1500.0,1500.0,0.5,0.5,0.48874999999999996,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Harry Bourchier,2021-02-01,1500.0,1512.0,1500.0,1500.0,1500.0,0.5,0.5,0.48874999999999996,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Tristan Lamasine,2021-01-05,1500.0,1512.0,1500.0,1500.0,1500.0,0.5,0.5,0.48874999999999996,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Alvaro Guillen Meza,2024-02-02,1499.8945189325736,1511.5432691396882,1500.1951012105596,1500.0,1500.0,0.48874999999999996,0.5,0.5,0.4982,0.49280000000000007,0.4800000000000001,-1.0,24.0,1.1173191660942507
Khumoun Sultanov,2024-09-13,1499.798210993658,1499.798210993658,1500.0,1500.0,1496.6189091290914,0.5,0.5,0.4993526562499999,0.4833520111999999,0.4894659584,0.5238400000000001,2.0,27.756000000000004,2.132697708809122
Ruben Bemelmans,2021-09-18,1499.658081862896,1499.658081862896,1500.2613741281543,1500.0,1500.0,0.51125,0.5,0.5,0.5018,0.5072,0.52,1.0,18.0,2.0
Juan Carlos Fuentes Vasquez,2024-09-14,1499.585699413623,1512.0,1491.0,1500.0,1509.0,0.425,0.5,0.575,0.4982,0.49280000000000007,0.4800000000000001,-1.0,24.0,1.1173191660942507
Andrew Harris,2021-02-01,1499.585699413623,1512.0,1500.0,1500.0,1499.7669153919285,0.5,0.5,0.48874999999999996,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Hernando Jose Escurra Isnardi,2023-02-03,1499.5798796723175,1512.0,1509.0,1500.0,1490.776189625558,0.575,0.5,0.425,0.4982,0.49280000000000007,0.4800000000000001,-1.0,24.0,1.1173191660942507
Rei Sakamoto,2026-03-20,1499.2767674265142,1502.359496392813,1500.0,1500.0,1497.910604742485,0.5,0.5,0.43456249999999996,0.471692,0.446336,0.41600000000000004,-1.0,21.8,2.0402942886002937
Bernard Tomic,2021-02-08,1499.2716345644167,1511.9856905714691,1500.0,1500.0,1499.5763021242556,0.5,0.5,0.48874999999999996,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Hugo Gaston,2024-11-04,1499.250610242774,1571.7906289864839,1512.0721212850776,1500.5295767445434,1451.8458081127542,0.5625196939232794,0.4418064921874999,0.4346826525572133,0.4474780540947944,0.47072710058593054,0.47204048369765506,-1.0,9.238229793069001,4.7071519324842335
Komlavi Loglo,2024-02-03,1499.227110466765,1499.227110466765,1500.0,1500.0,1499.5575021948184,0.5,0.5,0.51125,0.5018,0.5072,0.52,1.0,18.0,2.0
Remy Bertola,2025-10-20,1499.1997618803491,1511.9074590075586,1500.0,1500.0,1498.0174269856655,0.5,0.5,0.48874999999999996,0.4982,0.49280000000000007,0.4800000000000001,-1.0,24.0,1.1173191660942507
Yuta Shimizu,2022-10-03,1499.1007833554547,1512.0,1500.0,1509.0,1490.7659384054994,0.5,0.575,0.425,0.4982,0.49280000000000007,0.4800000000000001,-1.0,24.0,1.1173191660942507
Paul Jubb,2024-07-01,1499.077312249119,1522.347122687982,1500.0,1492.2884085336386,1500.0,0.5,0.43908323164062496,0.5,0.47393477469631984,0.45100588138496,0.41717760000000004,-2.0,16.092106,4.261989040767498
Lukas Neumayer,2024-09-13,1499.0411271772755,1500.5797193669855,1499.3601669593124,1500.0,1500.0,0.5193781249999999,0.5,0.5,0.50339048,0.5127756800000001,0.5328,1.0,24.740000000000002,1.3189546342543637
Pedja Krstin,2021-05-24,1499.028291194431,1511.8213077663822,1500.2203474968305,1500.0,1500.0,0.48874999999999996,0.5,0.5,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Jozef Kovalik,2024-09-15,1498.830232951529,1523.5718836268343,1511.1370994167494,1500.0,1470.7114572266069,0.44275607705293635,0.5,0.3343318257617187,0.42833644093098294,0.4071305975555345,0.4020484458687512,1.0,22.600954527858487,2.9420627985046464
Sina Moghimi,2024-03-15,1498.7802544923816,1510.736619052666,1499.7630273494096,1500.0,1500.0,0.48874999999999996,0.5,0.5,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
Soon Woo Kwon,2024-09-13,1498.6655965623709,1596.3949220960576,1483.8270947178908,1499.2361598855282,1495.4263897107098,0.3302119310859641,0.40104543771245105,0.3415767290835525,0.3595428369492379,0.31835493092112094,0.32839456791668764,1.0,21.684230527977444,1.7606589876617822
Alexandre Muller,2026-04-05,1498.4187857015515,1548.5169687283876,1497.387183915085,1503.4401815750105,1468.7770651414426,0.35703699498313085,0.4806218749999999,0.31364084059897956,0.3552968554764431,0.2956064122483206,0.24159136790213165,-2.0,19.38975189721518,1.6976102047789738
Laurynas Grigelis,2022-03-04,1498.4011719979094,1511.201328438636,1500.0,1490.7669153919285,1508.5463349150903,0.5,0.425,0.575,0.4982,0.49280000000000007,0.4800000000000001,-1.0,24.0,1.1173191660942507
Yosuke Watanuki,2025-09-23,1498.342455841533,1540.267166505843,1494.738809879827,1508.8278500735098,1488.2635376864828,0.39179176835937496,0.5197723437499999,0.3362742846023695,0.3866319125363921,0.3335933754573017,0.30015096073654607,-2.0,24.74333966146924,1.3748714768474963
Lukas Lacko,2021-06-14,1498.1934049727342,1509.6542364091747,1500.0,1499.7670717966835,1500.0,0.5,0.48874999999999996,0.5,0.4982,0.49280000000000007,0.4800000000000001,-1.0,18.0,2.0
N Sriram Balaji,2024-09-14,1497.963177211816,1512.0269974625467,1500.0,1509.2332175875213,1490.8995010058427,0.5,0.575,0.425,0.4982,0.49280000000000007,0.4800000000000001,-1.0,24.0,1.1173191660942507
Hong Kit Jack Wong,2024-02-03,1497.9404841891026,1512.0,1500.0,1500.0,1499.0978634737914,0.5,0.5,0.5031218749999999,0.5002095199999999,0.5016243200000001,0.5072000000000001,1.0,30.840000000000003,1.1326977088091217
Jeremy Chardy,2023-07-03,1497.909189273528,1576.85900688937,1467.1560929968216,1475.9396616884546,1544.0355522847235,0.25735240780619617,0.33022765624999995,0.4889597105976849,0.384072606312836,0.29646987989711365,0.21514776159454896,-4.0,21.194860288425343,1.239597507290329
Nerman Fatic,2024-02-03,1497.8009537348648,1499.9081936953241,1490.9586752147748,1500.0,1508.8961098767495,0.43456249999999996,0.5,0.575,0.50339048,0.5127756800000001,0.5328,1.0,30.840000000000003,1.1326977088091217
Yassine Dlimi,2024-09-14,1497.7033176545688,1511.1549662210339,1491.0,1500.0,1508.5278316880083,0.425,0.5,0.5654374999999999,0.49660951999999997,0.48722432000000004,0.46720000000000006,-1.0,25.98,1.1448467395603517
Matthew Ebden,2024-07-29,1497.6732224573489,1547.5484699856354,1496.1795404984664,1491.0,1508.8811366005702,0.425,0.425,0.4391384088689624,0.44326944568988347,0.360270762195204,0.2494579081216,-5.0,23.820731113830004,1.1407368733731662
Aisam Ul Haq Qureshi,2024-02-03,1497.4513011552338,1512.3999911578462,1500.0,1500.4482196861204,1500.0,0.5,0.49687812499999995,0.5,0.49979048000000004,0.49837567999999993,0.4928000000000001,-1.0,30.840000000000003,1.1326977088091217
Kasidit Samrej,2023-02-03,1497.440620853421,1523.5305588123042,1500.0,1500.0,1498.6216029775364,0.5,0.5,0.4673694453124999,0.49463086812799995,0.478870126592,0.44339200000000006,-2.0,21.5838,2.2621659056546024
Robert Strombachs,2024-02-02,1497.3999810845505,1511.936203027307,1500.0,1500.0,1498.5016837322719,0.5,0.5,0.5027506953124999,0.5011958281279999,0.502693486592,0.5009920000000001,-1.0,30.980400000000003,1.2502063167286055
Mateus Alves,2023-02-20,1497.0430220938658,1500.0,1495.8626276565033,1500.0,1500.0,0.425,0.5,0.5,0.47,0.44,0.4,-1.0,20.0,1.0
Alexis Galarneau,2026-03-05,1496.9203667949364,1504.009398290267,1491.2418195820346,1500.0,1497.906535113349,0.425,0.5,0.45772765624999995,0.4543508905279999,0.430730043392,0.4190720000000001,-1.0,29.387400000000003,1.25451953410567
Karlis Ozolins,2023-02-04,1496.6545764879636,1511.984053787465,1500.0,1500.0,1498.153859897076,0.5,0.5,0.4806218749999999,0.49660951999999997,0.48722432000000004,0.46720000000000006,-1.0,19.98,2.2346383321885015
Moise Kouame,2026-04-05,1496.5174521321612,1509.9834449933182,1489.2054943211594,1500.0,1500.8294815690806,0.425,0.5,0.48874999999999996,0.46830799999999995,0.43366400000000005,0.3840000000000001,-2.0,17.98,2.090506146433539
Filip Horansky,2022-03-04,1496.3290271184808,1501.4480352942944,1490.7669153919285,1500.0,1504.3786791151263,0.425,0.5,0.48874999999999996,0.471692,0.446336,0.41600000000000004,-1.0,21.6,2.1173191660942505
Kyrian Jacquet,2024-08-26,1496.2147300207953,1500.0,1500.0,1500.0,1496.2357410355037,0.5,0.5,0.425,0.47,0.44,0.4,-1.0,20.0,1.0
Coleman Wong,2026-02-24,1496.0516517984133,1534.5596662474152,1500.0,1491.4002261962835,1501.6844252048993,0.5,0.425,0.3626908234964476,0.4467481429215864,0.37471056268915987,0.2812916101283841,-4.0,26.7367876225296,1.3722359306400793
Raphael Collignon,2026-03-22,1496.017809365162,1500.8628586171374,1500.0,1500.0,1491.207632811852,0.5,0.5,0.39616354414062493,0.4336547970963198,0.40286579818496,0.3928576000000001,-1.0,18.640316000000002,3.447652148541236
Mario Vilella Martinez,2021-07-26,1495.5468382601214,1524.0,1494.9158681275055,1500.0,1499.534139401855,0.42765359374999995,0.5,0.461496875,0.4652251306783314,0.4279998486554869,0.3845263360000002,-1.0,22.272847200000005,2.1802366755994305
Omar Jasika,2024-01-15,1495.4411168864913,1500.0,1500.0,1500.0,1495.6819606768772,0.5,0.5,0.425,0.47,0.44,0.4,-1.0,20.0,1.0
Mackenzie McDonald,2026-03-06,1495.2027942546183,1505.1572773797539,1500.0,1500.0,1493.4321846047965,0.5,0.5,0.43456249999999996,0.471692,0.446336,0.41600000000000004,-1.0,21.700000000000003,2.078119078317183
