player_key,player,elo_current,elo_peak,wr_overall_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,form10,form5,streak,avg_rest_days,rank_latest,matches_played,wins,last_date,raw_win_rate
benjamin bonzi,Benjamin Bonzi,1555.6526194866995,1564.1160460382357,0.4473684210526316,0.34782608695652173,0.5172413793103449,0.4634146341463415,0.8,0.6,-1,12.125,,104,46,2025-08-17,0.4423076923076923
zhizhen zhang,Zhizhen Zhang,1555.3443219789126,1628.1084199557092,0.4864864864864865,0.5652173913043478,0.4583333333333333,0.4426229508196721,0.4,0.0,-6,8.386138613861386,46.0,101,49,2024-10-28,0.48514851485148514
kamil majchrzak,Kamil Majchrzak,1554.2320173968142,1560.406571801132,0.5166666666666667,0.45,0.5294117647058824,0.5348837209302325,0.6,0.6,-1,15.62,,50,26,2025-07-07,0.52
adrian mannarino,Adrian Mannarino,1552.5288365208012,1708.445517563741,0.4888888888888889,0.23333333333333334,0.5490196078431373,0.5182926829268293,0.5,0.4,-1,7.120930232558139,,215,105,2025-08-17,0.4883720930232558
cristian garin,Cristian Garin,1551.9473493475234,1610.9676721328751,0.5033112582781457,0.550561797752809,0.5416666666666666,0.41379310344827586,0.4,0.4,-1,9.47517730496454,,141,71,2025-07-03,0.5035460992907801
reilly opelka,Reilly Opelka,1551.8752131400952,1647.183663706201,0.5135135135135135,0.5483870967741935,0.45454545454545453,0.5128205128205128,0.5,0.4,-1,8.118811881188119,,101,52,2025-08-15,0.5148514851485149
borna gojo,Borna Gojo,1550.3944355673018,1572.2687358865103,0.5,0.46153846153846156,0.4166666666666667,0.5348837209302325,0.5,0.4,1,21.473684210526315,91.0,38,19,2024-09-13,0.5
terence atmane,Terence Atmane,1547.7708474154224,1548.704384843445,0.4482758620689655,0.5,0.5,0.44,0.5,0.8,-1,21.157894736842106,,19,8,2025-08-21,0.42105263157894735
bu yunchaokete,Bu Yunchaokete,1546.2447823603352,1579.3594302584197,0.5,0.45454545454545453,0.45454545454545453,0.5357142857142857,0.5,0.4,-3,15.4,,20,10,2025-07-29,0.5
dominik koepfer,Dominik Koepfer,1544.6726933697232,1572.6339132504665,0.4491525423728814,0.4523809523809524,0.391304347826087,0.4794520547945205,0.4,0.4,-3,9.787037037037036,83.0,108,48,2024-10-14,0.4444444444444444
roman safiullin,Roman Safiullin,1544.6023477685383,1641.6085212781468,0.46153846153846156,0.45161290322580644,0.5,0.4634146341463415,0.4,0.2,-4,11.57943925233645,,107,49,2025-08-13,0.45794392523364486
learner tien,Learner Tien,1544.5745284382176,1561.6182070039886,0.5,0.5,0.5,0.5,0.6,0.4,-2,17.77777777777778,,18,9,2025-08-13,0.5
mohamed safwat,Mohamed Safwat,1543.3968361028003,1543.3968361028003,0.6,0.625,0.5,0.46153846153846156,0.7,0.8,4,39.0,358.0,11,7,2024-09-13,0.6363636363636364
mikael ymer,Mikael Ymer,1540.9081638092962,1599.1224589183155,0.4956521739130435,0.45161290322580644,0.4782608695652174,0.5180722891566265,0.4,0.6,1,8.6,61.0,107,53,2023-07-03,0.4953271028037383
zsombor piros,Zsombor Piros,1539.7699890018825,1542.5566840623906,0.5714285714285714,0.5714285714285714,0.5,0.5555555555555556,0.6,0.6,2,41.0,129.0,12,8,2024-09-13,0.6666666666666666
dominic stricker,Dominic Stricker,1539.668721648589,1592.4602459672699,0.5,0.45,0.5,0.5121951219512195,0.4,0.6,1,15.625,317.0,49,24,2024-10-21,0.4897959183673469
fabian marozsan,Fabian Marozsan,1539.3788798935836,1630.0732174277562,0.47126436781609193,0.4827586206896552,0.3888888888888889,0.5,0.4,0.4,-2,10.376623376623376,,77,36,2025-08-13,0.4675324675324675
gabriel diallo,Gabriel Diallo,1539.209828092269,1540.1188967852697,0.4523809523809524,0.45454545454545453,0.42857142857142855,0.4864864864864865,0.5,0.4,-1,21.34375,,32,14,2025-08-15,0.4375
john isner,John Isner,1539.1139109705423,1659.4122675329882,0.5454545454545454,0.5666666666666667,0.5454545454545454,0.5189873417721519,0.5,0.4,1,9.73,106.0,101,55,2023-08-28,0.5445544554455446
roberto carballes baena,Roberto Carballes Baena,1535.7254969114563,1575.9429166607083,0.4329268292682927,0.5,0.36363636363636365,0.3787878787878788,0.3,0.0,-6,9.441558441558442,,154,66,2025-08-13,0.42857142857142855
daniel vallejo,Daniel Vallejo,1535.5587132342207,1535.5587132342207,0.6153846153846154,0.5,0.5,0.5,1.0,1.0,3,30.0,,4,3,2024-02-03,0.75
nam hoang ly,Nam Hoang Ly,1534.757199104424,1534.757199104424,0.6153846153846154,0.5,0.5,0.5833333333333334,1.0,1.0,3,30.0,243.0,4,4,2024-02-02,1.0
timofey skatov,Timofey Skatov,1533.7333156992222,1559.2976991854673,0.5,0.6111111111111112,0.5,0.3888888888888889,0.5,0.4,-3,33.3125,188.0,16,8,2024-10-14,0.5
altug celikbilek,Altug Celikbilek,1533.6127741512998,1533.6127741512998,0.5652173913043478,0.45454545454545453,0.45454545454545453,0.6,0.6,0.6,2,35.46153846153846,205.0,13,8,2024-02-02,0.6153846153846154
sebastian ofner,Sebastian Ofner,1532.0889505643593,1578.141313680493,0.449438202247191,0.40476190476190477,0.48,0.5,0.3,0.4,-1,10.379746835443038,,79,35,2025-07-05,0.4430379746835443
dusan lajovic,Dusan Lajovic,1531.9840277530075,1611.4826038553144,0.43103448275862066,0.4888888888888889,0.3684210526315789,0.4,0.3,0.2,-2,8.53048780487805,86.0,164,70,2025-07-01,0.4268292682926829
borna coric,Borna Coric,1531.7957399756,1671.6018643185494,0.5284552845528455,0.48717948717948717,0.4,0.5555555555555556,0.4,0.4,1,8.88495575221239,97.0,114,60,2024-10-14,0.5263157894736842
alexander bublik,Alexander Bublik,1530.4724099362118,1691.9391085207874,0.5126050420168067,0.40384615384615385,0.6181818181818182,0.5099337748344371,0.2,0.2,-2,6.473684210526316,33.0,228,117,2025-07-01,0.5131578947368421
rinky hijikata,Rinky Hijikata,1530.450538800965,1552.5116189672262,0.4473684210526316,0.375,0.5,0.46296296296296297,0.5,0.4,-1,12.742424242424242,,66,29,2025-07-03,0.4393939393939394
sebastian baez,Sebastian Baez,1530.3216964649816,1669.720725377984,0.5026178010471204,0.6347826086956522,0.38095238095238093,0.3333333333333333,0.1,0.0,-9,7.50828729281768,,181,91,2025-08-13,0.5027624309392266
roger federer,Roger Federer,1527.728640446059,1529.2940142413688,0.55,0.5333333333333333,0.5882352941176471,0.5,0.6,0.6,1,13.2,8.0,14,9,2021-06-28,0.6428571428571429
christopher oconnell,Christopher Oconnell,1527.6229308426243,1570.8475078789722,0.4166666666666667,0.4,0.45,0.4367816091954023,0.4,0.2,1,11.081818181818182,71.0,112,46,2024-11-04,0.4107142857142857
jan lennard struff,Jan-Lennard Struff,1527.2633806102392,1721.4886812814,0.5138121546961326,0.6212121212121212,0.5405405405405406,0.42857142857142855,0.5,0.6,-1,8.543859649122806,,171,88,2025-07-05,0.5146198830409356
