player,last_date,current_elo,peak_elo,win_rate_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,avg_rest_days,matches_28d,streak,n_matches
Yibing Wu,2024-10-02,1516.4967039433066,1588.404357872579,0.4772727272727273,0.42105263157894735,0.4,0.5625,13.176470588235293,2,1,36
Pablo Llamas Ruiz,2024-04-22,1515.742405685467,1535.0464484396582,0.5,0.5,0.5,0.5,21.375,4,-2,8
Andrea Vavassori,2024-07-29,1515.5961904516232,1527.901215320456,0.4666666666666667,0.48,0.4166666666666667,0.5,24.35,1,1,21
Daniil Ostapenkov,2021-09-18,1515.0379685656108,1515.0379685656108,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Aslan Karatsev,2024-10-14,1514.8835136967202,1643.371174108486,0.49693251533742333,0.4909090909090909,0.4090909090909091,0.514018691588785,8.490196078431373,2,1,154
Lukas Pokorny,2024-02-02,1514.6052208722576,1514.6052208722576,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Giles Hussey,2024-06-24,1514.3870082336118,1514.3870082336118,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Alexander Erler,2021-07-26,1514.2231270453924,1514.2231270453924,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Martin Damm,2024-03-18,1514.1005457901636,1514.1005457901636,0.5454545454545454,0.5,0.5,0.5384615384615384,30.0,1,1,3
Demetris Azoides,2024-09-14,1514.0942160734762,1514.0942160734762,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Billy Harris,2025-07-03,1513.7470638894167,1555.0897319676164,0.5185185185185185,0.5,0.5454545454545454,0.4666666666666667,15.235294117647058,2,-1,17
Henrique Rocha,2024-09-13,1513.4653367164135,1513.4653367164135,0.5,0.42857142857142855,0.5,0.5833333333333334,44.833333333333336,1,1,6
Zizou Bergs,2025-07-01,1513.0762167325486,1537.280659754199,0.391304347826087,0.4230769230769231,0.4,0.4166666666666667,17.10169491525424,1,-2,59
Ergi Kirkin,2023-02-03,1512.800030441454,1512.800030441454,0.5384615384615384,0.5,0.5,0.5,50.0,1,2,3
Matej Dodig,2024-09-13,1512.7851769891906,1512.7851769891906,0.5384615384615384,0.5,0.5,0.5454545454545454,27.666666666666668,1,1,3
Alexander Shevchenko,2025-07-01,1512.666835112436,1574.5318211523484,0.44329896907216493,0.4473684210526316,0.4,0.46875,9.655172413793103,1,-3,87
Justin Engel,2024-10-14,1512.6268567994523,1512.6268567994523,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Jack Loutit,2024-09-14,1512.6185695123052,1512.6185695123052,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Hady Habib,2024-09-14,1512.4840917159584,1512.4840917159584,0.5,0.4666666666666667,0.5,0.5833333333333334,47.125,1,1,8
Iliyan Radulov,2024-09-14,1512.414300586377,1512.414300586377,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Gijs Brouwer,2024-06-24,1512.3512013060038,1575.5943130864757,0.4864864864864865,0.5263157894736842,0.4444444444444444,0.5,18.962962962962962,4,-2,27
Arthur Cazaux,2025-07-03,1512.3317152431996,1524.1100037139504,0.4146341463414634,0.375,0.4666666666666667,0.4666666666666667,20.419354838709676,2,-1,31
Matija Pecotic,2023-02-13,1512.2147830218528,1512.2147830218528,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Arklon Huertas Del Pino,2023-02-03,1512.0275974674084,1512.0275974674084,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,1
Ainius Sabaliauskas,2022-09-17,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Andrew Harris,2021-02-01,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Benedict Badza,2024-02-03,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Boris Arias,2024-02-03,1512.0,1512.0,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Christopher Rungkat,2023-02-04,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,1
Conner Huertas Del Pino,2023-02-03,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,1
David Jorda Sanchis,2024-04-01,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Digvijaypratap Singh,2023-09-16,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Freddy Murray,2023-09-16,1512.0,1512.0,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Genaro Alberto Olivieri,2023-05-29,1512.0,1512.0,0.5454545454545454,0.5384615384615384,0.5,0.5,30.0,1,1,3
Harry Bourchier,2021-02-01,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Johannes Seeman,2023-02-04,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,1
Justin Barki,2021-09-17,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Luis Carlos Alvarez Valdes,2022-09-16,1512.0,1512.0,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Martyn Pawelski,2024-09-13,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Mousa Alkotop,2023-02-03,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Mustapha El Natour,2023-09-15,1512.0,1512.0,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Nicolas Mahut,2021-02-02,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Olaf Pieczkowski,2022-09-16,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5833333333333334,30.0,1,1,2
Oliver Ojakaar,2024-03-15,1512.0,1512.0,0.5454545454545454,0.5833333333333334,0.5,0.5,30.0,1,1,2
Orlando Luz,2021-09-18,1512.0,1512.0,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Raphael Calzi,2023-02-04,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,1
Ruan Roelofse,2021-09-18,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Sylvestre Monnou,2022-03-04,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Tom Kocevar Desman,2021-09-17,1512.0,1512.0,0.5454545454545454,0.5454545454545454,0.5,0.5,30.0,1,1,1
Tristan Lamasine,2021-01-05,1512.0,1512.0,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
Gonzalo Escobar,2024-09-14,1511.999487426929,1511.999487426929,0.5454545454545454,0.5,0.5,0.5454545454545454,30.0,1,1,1
Bernard Tomic,2021-02-08,1511.9856905714691,1511.9856905714691,0.5454545454545454,0.5,0.5,0.5,30.0,1,1,2
