match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,rank_diff,diff_h2h_wr_prior,surface,tourney_level,best_of,round
143,2021-02-01,Jason Kubler,Ricardas Berankis,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,Hard,A,3,R32
141,2021-02-01,Felix Auger Aliassime,Yuichi Sugita,1,-10.0,-1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,0.0,-12.0,-9.0,1896.0,0.0,Hard,A,3,R32
113,2021-02-01,Andrew Harris,Taro Daniel,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
91,2021-02-01,Sam Querrey,Stefano Travaglia,0,5.083333333333332,-1,-0.08333333333333337,-0.08333333333333337,0,-0.08333333333333337,-12.0,-11.585699413622933,0.0,0.0,-0.20833333333333337,-11.585699413622933,-8.766915391928478,-20.0,0.0,Hard,A,3,R32
111,2021-02-01,Stefano Travaglia,Thiago Monteiro,1,-1.5238095238095237,1,0.023809523809523725,0.0,0,0.023809523809523725,11.958061859683312,12.752463223274617,0.0,0.0,0.04166666666666663,12.752463223274617,9.434458202860696,-12.0,0.0,Hard,A,3,SF
81,2021-02-01,Attila Balazs,Carlos Alcaraz,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
80,2021-02-01,Federico Delbonis,Matthew Ebden,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
79,2021-02-01,Thiago Monteiro,Thomas Fancutt,1,-5.0,2,0.0,0.0,-1,0.0,12.0,-0.4143005863770668,0.0,0.0,0.33333333333333337,-0.4143005863770668,-0.23308460807152187,-1916.0,0.0,Hard,A,3,R64
78,2021-02-01,Gianluca Mager,Jordan Thompson,0,-10.0,3,0.16666666666666663,0.16666666666666663,-1,0.16666666666666663,24.0,11.98569057146915,0.0,0.0,-0.33333333333333337,11.98569057146915,8.993962158036311,-1899.0,0.0,Hard,A,3,R64
112,2021-02-01,Jannik Sinner,Stefano Travaglia,1,0.375,-4,0.125,0.0,-1,0.125,-24.005801860436577,-23.538406756799986,0.0,0.0,0.125,-23.538406756799986,-17.74733563535915,-35.0,0.0,Hard,A,3,F
76,2021-02-01,Mario Vilella Martinez,Yannick Hanfmann,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
75,2021-02-01,Mikael Torpegaard,Pedro Martinez,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
74,2021-02-01,Kimmer Coppejans,Robin Haase,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
73,2021-02-01,Pablo Andujar,Pablo Cuevas,0,10.0,1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,-1.0,-12.0,-9.0,-1941.0,0.0,Hard,A,3,R64
72,2021-02-01,Henri Laaksonen,Sam Querrey,0,5.0,-2,0.0,0.0,1,0.0,-12.0,0.0,0.0,0.0,-0.16666666666666663,0.0,0.0,1944.0,0.0,Hard,A,3,R64
71,2021-02-01,Roberto Carballes Baena,Stefano Travaglia,0,10.0,-3,-0.16666666666666663,-0.16666666666666663,1,-0.16666666666666663,-24.0,-12.0,0.0,0.0,-0.375,-12.0,-9.0,1925.0,0.0,Hard,A,3,R64
82,2021-02-01,Karen Khachanov,Max Purcell,1,-10.0,-1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,0.0,-12.0,-9.0,1762.0,0.0,Hard,A,3,R32
