player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,win_rate,peak_elo,current_elo,wr_Clay,wr_Grass,wr_Hard,wr_Unknown
Conor Gannon,3,1,2,30.0,1,0.6666666666666666,0.6666666666666666,-1,0.3333,1511.143212796064,1511.143212796064,0.3333,,,
Sebastian Ofner,76,33,43,9.947368421052632,2,0.5,0.2,-1,0.4342,1578.141313680493,1511.1122648423316,0.375,0.4167,0.5,
Joao Fonseca,20,12,8,16.6,4,0.7,1.0,6,0.6,1565.4611734679563,1511.104198857243,0.4545,0.0,0.875,
Paul Jubb,7,3,4,15.857142857142858,4,0.5,0.6,-1,0.4286,1522.346874643072,1510.9103390037712,,0.4286,,
Saba Purtseladze,5,2,3,30.0,1,0.5,0.5,-1,0.4,1522.9204812856333,1510.8660906185146,,,0.25,1.0
Pavel Kotov,79,36,43,12.772151898734178,1,0.3,0.2,-1,0.4557,1591.97176323038,1510.8638836067498,0.5312,0.5,0.3953,
Hugo Gaston,89,37,52,13.50561797752809,5,0.4,0.8,-1,0.4157,1571.7906289864839,1510.7293872121286,0.4722,0.5,0.3617,
Yassine Dlimi,4,2,2,37.5,0,0.6666666666666666,0.6666666666666666,0,0.5,1511.1549662210339,1510.478110497751,0.0,,0.6667,
Elmer Moller,6,4,2,45.0,0,0.6,0.6,2,0.6667,1510.3219489692597,1510.3219489692597,1.0,,0.6,
Karlis Ozolins,4,2,2,22.5,1,0.6666666666666666,0.6666666666666666,0,0.5,1511.984053787465,1510.2966460172643,,,0.5,0.5
Ryan Peniston,13,6,7,13.692307692307692,3,0.4,0.2,-1,0.4615,1547.3918442099978,1510.1974267266514,,0.5,0.0,
Kasidit Samrej,6,3,3,25.0,1,0.6,0.6,-1,0.5,1523.5305588123042,1510.179876674769,,,0.75,0.0
Rio Noguchi,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1510.1582056580867,1510.1582056580867,,,0.5,
Lukas Lacko,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1509.6542364091747,1509.6542364091747,,0.5,,
Joaquin  Aguilar Cardozo ,4,2,2,37.5,0,0.6666666666666666,0.6666666666666666,0,0.5,1512.008867342589,1509.4698195599146,0.5,,,
Blaise Bicknell,7,5,2,30.0,1,0.6666666666666666,0.6,1,0.7143,1521.2991047622384,1508.5494758056668,0.3333,,1.0,1.0
Matheus Pucinelli De Almeida,4,3,1,37.5,0,0.6666666666666666,0.6666666666666666,0,0.75,1521.188743913566,1507.6841273776095,0.6667,,,1.0
Alejandro Moro Canas,3,1,2,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.3333,1513.4760209648975,1507.542029414898,0.5,0.0,,
Chris Rodesch,7,4,3,30.0,1,0.6666666666666666,0.6,-1,0.5714,1520.4726419944502,1507.3787966024336,0.5,,0.5,1.0
Kaichi Uchida,5,2,3,30.6,2,0.5,0.5,-1,0.4,1512.9619071259676,1506.9267202027231,,1.0,0.25,
Yibing Wu,36,17,19,12.444444444444445,3,0.4,0.4,0,0.4722,1588.404357872579,1506.3086377806562,0.3333,0.2,0.5909,
Mackenzie Mcdonald,170,82,88,7.723529411764706,1,0.3,0.2,0,0.4824,1635.197414979655,1506.1939717662142,0.2632,0.48,0.5159,
Zdenek Kolar,3,1,2,21.666666666666668,0,0.0,0.0,-1,0.3333,1509.6683283111238,1505.8598619811185,0.5,0.0,,
Benjamin Hassan,16,7,9,31.5625,0,0.5,0.6,0,0.4375,1505.036655598964,1505.036655598964,0.5556,,0.2,0.5
Laslo Djere,184,90,94,7.679347826086956,5,0.6,0.8,-1,0.4891,1637.4310402568442,1504.3183069077645,0.5402,0.375,0.4568,
Facundo Diaz Acosta,40,18,22,13.675,1,0.4,0.2,-1,0.45,1561.2427663360384,1503.953920136279,0.5714,0.0,0.1818,
Gabi Adrian Boitan,3,1,2,30.0,1,0.0,0.0,-1,0.3333,1503.7933632835702,1503.7933632835702,0.0,,0.5,
Philip Sekulic,3,1,2,14.0,2,0.6666666666666666,0.6666666666666666,-1,0.3333,1511.2173167954834,1503.5108423950198,,,0.3333,
Francisco Comesana,11,4,7,15.181818181818182,3,0.4,0.4,0,0.3636,1502.984438120922,1502.984438120922,0.0,0.6667,0.5,
Otto Virtanen,24,10,14,27.25,1,0.4,0.2,-1,0.4167,1518.5666047597629,1502.7622834055992,0.0,0.5,0.45,
Ugo Blanchet,3,1,2,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.3333,1502.4149431825256,1502.4149431825256,0.5,,0.0,
Ivan Gakhov,4,1,3,37.5,0,0.3333333333333333,0.3333333333333333,-1,0.25,1503.6473178699262,1502.2616353693245,0.25,,,
Mario Vilella Martinez,9,4,5,22.77777777777778,1,0.5,0.4,-1,0.4444,1524.0,1502.0276234239943,0.4,,0.5,
Christopher Eubanks,86,37,49,11.372093023255815,5,0.5,0.6,-1,0.4302,1613.3548299968038,1501.973374677408,0.1111,0.6087,0.4074,
Adria Soriano Barrera,3,1,2,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.3333,1501.8082639631048,1501.8082639631048,0.5,,0.0,
Michael Geerts,3,1,2,40.0,0,0.3333333333333333,0.3333333333333333,-1,0.3333,1511.2411833029842,1501.6380228316602,1.0,,0.0,
Nicholas David Ionel,5,2,3,30.0,0,0.5,0.5,-1,0.4,1509.6972413552044,1501.4883458464244,0.5,,0.0,0.5
Filip Horansky,3,1,2,30.0,1,0.6666666666666666,0.6666666666666666,-1,0.3333,1501.4480352942944,1501.4480352942944,0.0,,0.5,
Matej Dodig,3,2,1,27.666666666666668,0,0.6666666666666666,0.6666666666666666,1,0.6667,1510.6067433687972,1501.3992331998145,0.5,,1.0,
Alex Bolt,24,10,14,21.083333333333332,3,0.4,0.6,0,0.4167,1525.1332853576814,1501.3483505147328,,0.375,0.4375,
Luciano Darderi,54,26,28,7.111111111111111,4,0.1,0.2,-1,0.4815,1608.888190466346,1501.3057243256503,0.6471,0.4,0.1333,
Patrick Kypson,8,3,5,20.875,2,0.42857142857142855,0.6,-1,0.375,1505.5279638692218,1500.9847835999356,0.0,,0.5,
Nicolas Alvarez Varona,3,1,2,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.3333,1500.961707358949,1500.961707358949,0.0,,0.5,
Simon Carr,3,1,2,30.0,0,0.0,0.0,-1,0.3333,1512.0,1500.799161220194,,,0.5,0.0
Nick Hardt,7,3,4,30.0,0,0.5,0.4,-1,0.4286,1511.5217929101798,1500.781924865767,0.3333,,0.5,
Hady Habib,8,4,4,47.125,0,0.42857142857142855,0.4,0,0.5,1512.3999911578462,1500.5023564367905,0.4,,1.0,0.0
