name,N_fav,O_upsets,E_exp,V_var,z,z_sigmoid,eb_rate,volatility,neg_trend,fatigue,surface_mismatch,USI
Marin Cilic,7,3,2.524165573696956,1.6079050318631392,0.37525428714013326,0.5927279867034771,0.3112706367480849,1.0,0.0,0.0,0.034340060984463516,47.0
Matteo Arnaldi,9,2,3.2251888324103675,2.063353473165886,-0.8529355438796884,0.29881742299774594,0.2553209376620101,0.9080073126654649,1.0,0.0,0.0,46.6
Sebastian Ofner,2,1,0.75643951512568,0.4695792433485082,0.35542861080647603,0.5879333809577336,0.2911048723726497,1.0,0.0,0.0,0.0,46.5
Casper Ruud,96,28,27.439359833117734,19.22315181199335,0.12787095584100802,0.5319242514066637,0.2879681654499853,0.9988503038308582,0.0,0.16666666666666666,0.07130434782608697,46.3
Francisco Cerundolo,26,8,9.345477938057188,5.95064367983825,-0.5515623433777569,0.3655020094045125,0.2913979824390933,0.9613936214049249,0.6670139488743041,0.0,0.05738073807380739,46.3
Emil Ruusuvuori,21,8,7.285573186494485,4.73389059640778,0.32835878308629574,0.5813599899829112,0.32693432176093395,1.0,0.0,0.0,0.0,46.2
Gael Monfils,22,8,7.134095067869099,4.777591598138244,0.39615551131754917,0.5977636309527316,0.31915017124281647,0.9445681618734761,0.0,0.0,0.0,45.8
Stefanos Tsitsipas,103,22,28.6525750442858,20.319149188153304,-1.4758323398433242,0.1860577451997164,0.22279924546502677,0.922526374988469,1.0,0.3333333333333333,0.03761323028338737,45.5
Juncheng Shang,2,1,0.7800374567372113,0.47567054391092095,0.31893016919416467,0.5790635040800999,0.2911048723726497,0.9686201813371744,0.0,0.0,0.0,45.4
Hamad Medjedovic,1,0,0.3676958558118427,0.2324956134306393,-0.7625728754106923,0.31808792794141566,0.25734796153325207,0.9288813474269816,0.5871491839493069,0.3333333333333333,0.0,45.0
Pablo Carreno Busta,10,4,3.568409292714918,2.287809610378977,0.2853396637872861,0.5708548245930053,0.31347690640660975,0.9583889199445139,0.0,0.0,0.005704467353951914,44.9
Brandon Nakashima,15,5,5.211713567221643,3.3831374185122782,-0.11510359033977803,0.47125583097594226,0.29726591977709405,0.9483366074575666,0.09239690338818596,0.3333333333333333,0.0,44.9
Christopher O'Connell,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.15587925562064775,0.0,0.0,44.8
Reilly Opelka,3,1,1.1221131884490096,0.7004682125660913,-0.14590438866229125,0.46358847424955657,0.27844813879123015,1.0,0.0,0.3333333333333333,0.0006930006930007115,44.2
Jakub Mensik,9,3,3.215868235636317,2.0598327817359423,-0.1504086312572873,0.4624685708867292,0.28980369628269975,1.0,0.0,0.3333333333333333,0.0,44.1
Adam Walton,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9069756715888803,0.0,0.3333333333333333,0.0032467532467532756,44.0
Andrey Rublev,106,30,31.10477544238587,21.632286331564405,-0.23753236921335424,0.4408945488593726,0.2809865650174468,0.868305524103787,0.0,0.6666666666666666,0.01044096568393249,44.0
Learner Tien,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9867785042127954,0.0,0.16666666666666666,0.0,43.9
Valentin Royer,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.862398009265381,0.1479447228347123,0.16666666666666666,0.006993006993007034,43.7
Daniil Medvedev,111,22,27.90124031883799,20.02215849994331,-1.3188270719535948,0.21101350432994162,0.20919318467326942,0.8733292894005578,1.0,0.16666666666666666,0.0,43.6
Zizou Bergs,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9665846065513063,0.0,0.16666666666666666,0.0,43.5
Coleman Wong,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9590072481320693,0.0,0.16666666666666666,0.0,43.3
Billy Harris,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.0,0.051851851851851816,43.0
Hugo Gaston,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.0,0.036531239330829635,42.9
Ignacio Buse,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.0,0.038461538461538436,42.9
Giovanni Mpetshi Perricard,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.0,0.021739130434782594,42.7
Martin Damm,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.0,0.0,42.5
Kamil Majchrzak,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.0,0.0,42.5
