k_overall,k_surface,tau,beta,n,cutoff_date,train_auc,test_auc,train_brier,test_brier,test_acc,thr
28,14,500,2.0,39613,2022-04-18 00:00:00,0.7705188224308954,0.7458665199942129,0.19477234637812446,0.20422639578681978,0.6739871260886028,0.55
32,16,500,1.8,39613,2022-04-18 00:00:00,0.7707220039637248,0.7458568962077821,0.1946981473826017,0.20423290491570822,0.672093903824309,0.51
32,18,500,1.8,39613,2022-04-18 00:00:00,0.7707218924349477,0.7458530084529986,0.19469691490950003,0.20423785908158412,0.6723463334595482,0.51
32,20,500,1.8,39613,2022-04-18 00:00:00,0.7707169652529027,0.745851861246669,0.19469630571063737,0.20424680389227612,0.6715890445538306,0.51
28,16,500,2.0,39613,2022-04-18 00:00:00,0.7705009818097323,0.745840006781264,0.19477718406659383,0.20423892104866367,0.673608481635744,0.545
28,24,500,2.2,39613,2022-04-18 00:00:00,0.7703454011572808,0.7458333147443419,0.194832933850792,0.20425683839827782,0.6724725482771677,0.545
28,18,500,2.0,39613,2022-04-18 00:00:00,0.7704741631220132,0.7458020852387051,0.194783421502439,0.20425137609602084,0.6731036223652657,0.545
32,24,500,1.8,39613,2022-04-18 00:00:00,0.7707001483065863,0.7457808619216089,0.1946995279321682,0.20425498678923276,0.6722201186419285,0.54
28,20,500,2.0,39613,2022-04-18 00:00:00,0.7704513076890516,0.7457764005636608,0.19479107179448893,0.20426302258536205,0.6723463334595482,0.545
28,12,365,2.0,39613,2022-04-18 00:00:00,0.7707701326142086,0.7457478478727927,0.19465858411539397,0.20425809041759865,0.6718414741890698,0.53
32,18,240,2.2,39613,2022-04-18 00:00:00,0.771202537649317,0.7457423349090424,0.19449225765050415,0.20425513046743726,0.6718414741890698,0.51
28,14,365,2.0,39613,2022-04-18 00:00:00,0.7707669460777202,0.7457417294390352,0.19465926571150186,0.2042655520306804,0.6714628297362111,0.53
32,16,240,2.2,39613,2022-04-18 00:00:00,0.7711931333835063,0.7457374274152995,0.19449625868844944,0.2042552299829911,0.6718414741890698,0.51
32,20,240,2.2,39613,2022-04-18 00:00:00,0.7712094603998376,0.7457326473889265,0.1944896139160823,0.20426091709241812,0.6718414741890698,0.515
28,16,365,2.0,39613,2022-04-18 00:00:00,0.7707522641108511,0.7457306397778498,0.19466243848002762,0.20427178719942116,0.6719676890066894,0.5
28,24,500,2.0,39613,2022-04-18 00:00:00,0.7703948362877246,0.7457234378714479,0.19480863124515677,0.20428961856830952,0.6714628297362111,0.545
32,14,240,2.2,39613,2022-04-18 00:00:00,0.7711757149784275,0.7457233422709204,0.1945017942529603,0.2042536796137737,0.6724725482771677,0.51
32,24,240,2.2,39613,2022-04-18 00:00:00,0.7712069749013768,0.7457211753256313,0.19448869505763314,0.20426737498128375,0.6715890445538306,0.515
32,12,240,2.2,39613,2022-04-18 00:00:00,0.771159909757446,0.7457183073098075,0.19450838073067447,0.20425410361766372,0.672093903824309,0.51
28,18,365,2.0,39613,2022-04-18 00:00:00,0.770740326548532,0.7457149612913464,0.1946663034856139,0.20427681402557074,0.6718414741890698,0.5
28,20,365,2.0,39613,2022-04-18 00:00:00,0.7707214025049627,0.7456943753111,0.19467135036231262,0.20428319221689972,0.672093903824309,0.5
28,24,365,2.0,39613,2022-04-18 00:00:00,0.7706846019916945,0.7456493155958239,0.19468342965435884,0.20429854901229264,0.6722201186419285,0.5
28,12,500,1.8,39613,2022-04-18 00:00:00,0.7705120470576875,0.7456393731409681,0.1947694522955074,0.20430022995616803,0.6723463334595482,0.535
28,14,500,1.8,39613,2022-04-18 00:00:00,0.7705071119093012,0.7456096095100855,0.19477132388623983,0.20431256363512165,0.672093903824309,0.535
32,20,365,1.8,39613,2022-04-18 00:00:00,0.7708336841012952,0.7455866016498102,0.1946375681928177,0.20432226763784483,0.6722201186419285,0.53
28,16,500,1.8,39613,2022-04-18 00:00:00,0.7704904821720034,0.7455815666886974,0.19477500785257854,0.2043254337830169,0.6696958222895368,0.495
32,18,365,1.8,39613,2022-04-18 00:00:00,0.770831959388421,0.7455812480202724,0.19463936570688986,0.204320746881179,0.6724725482771677,0.515
24,12,365,2.2,39613,2022-04-18 00:00:00,0.7703952644785653,0.7455753207875699,0.19479541749353807,0.20433173480945138,0.6719676890066894,0.54
32,14,365,1.8,39613,2022-04-18 00:00:00,0.7708140112216513,0.7455684375495928,0.19464777407986525,0.20431656109620291,0.6728511927300265,0.515
32,12,365,1.8,39613,2022-04-18 00:00:00,0.7707964653551129,0.7455667167400984,0.1946545017304895,0.20431270525794998,0.672093903824309,0.515
32,16,365,1.8,39613,2022-04-18 00:00:00,0.7708234991340448,0.7455646772621795,0.1946427718022789,0.20431987325562959,0.672093903824309,0.515
24,14,365,2.2,39613,2022-04-18 00:00:00,0.7703652273889934,0.7455598972358064,0.19480642085631852,0.204346004585195,0.672093903824309,0.54
28,18,500,1.8,39613,2022-04-18 00:00:00,0.7704699290116546,0.7455582401599969,0.1947799522531061,0.20433576503328346,0.6703268963776348,0.535
32,24,365,1.8,39613,2022-04-18 00:00:00,0.7708315053069714,0.7455523129272945,0.194636105059466,0.20432820206824806,0.6724725482771677,0.505
28,12,240,2.2,39613,2022-04-18 00:00:00,0.7709442808164597,0.7455482977051412,0.19458502943017084,0.20432580332075226,0.6717152593714502,0.515
