player_1,player_2,surface,tourney_date,in_rate,win_1st,win_2nd,bp_save,opp_in_rate,opp_win_1st,opp_win_2nd,opp_bp_save,outcome
Cameron Norrie,Adrian Mannarino,Hard,20210104,0.559322033898305,0.7575757575757576,0.46153846153846156,0.5,0.5,0.5483870967741935,0.45161290322580644,0.375,1
Sebastian Korda,Tommy Paul,Hard,20210104,0.6666666666666666,0.6206896551724138,0.6206896551724138,0.8181818181818182,0.6626506024096386,0.6181818181818182,0.42857142857142855,0.16666666666666666,1
John Isner,Thiago Monteiro,Hard,20210104,0.7272727272727273,0.8541666666666666,0.5,0.5,0.68,0.7843137254901961,0.5416666666666666,0.75,1
Christian Harrison,Tomas Martin Etcheverry,Hard,20210104,0.6666666666666666,0.8529411764705882,0.4117647058823529,0.6666666666666666,0.6376811594202898,0.5681818181818182,0.4,0.6923076923076923,1
Gianluca Mager,Ryan Harrison,Hard,20210104,0.7096774193548387,0.7727272727272727,0.4444444444444444,0.9230769230769231,0.5238095238095238,0.7727272727272727,0.425,0.5,1
Sam Querrey,Mackenzie Mcdonald,Hard,20210104,0.5454545454545454,0.8333333333333334,0.4666666666666667,0.8571428571428571,0.6153846153846154,0.59375,0.6,0.5,1
Daniel Elahi Galan,Andrej Martin,Hard,20210104,0.609375,0.7692307692307693,0.52,0.8333333333333334,0.5625,0.6666666666666666,0.42857142857142855,0.5714285714285714,1
Roberto Quiroz,Noah Rubin,Hard,20210104,0.5517241379310345,0.75,0.46153846153846156,0.25,0.5303030303030303,0.6857142857142857,0.3548387096774194,0.2857142857142857,1
Ivo Karlovic,Pablo Andujar,Hard,20210104,0.6237623762376238,0.8095238095238095,0.39473684210526316,0.5,0.63,0.6507936507936508,0.5675675675675675,0.625,1
Soon Woo Kwon,Sebastian Korda,Hard,20210104,0.58,0.7586206896551724,0.5238095238095238,0.25,0.6022727272727273,0.6792452830188679,0.5142857142857142,0.8333333333333334,0
Frances Tiafoe,Donald Young,Hard,20210104,0.5098039215686274,0.7692307692307693,0.64,0.5,0.589041095890411,0.6511627906976745,0.36666666666666664,0.5,1
Ji Sung Nam,Tommy Paul,Hard,20210104,0.5294117647058824,0.5925925925925926,0.4166666666666667,0.3333333333333333,0.6440677966101694,0.6842105263157895,0.6190476190476191,0.6666666666666666,0
Kevin King,Bjorn Fratangelo,Hard,20210104,0.6530612244897959,0.53125,0.4117647058823529,0.3333333333333333,0.49019607843137253,0.88,0.5769230769230769,1.0,0
Sebastian Korda,Hubert Hurkacz,Hard,20210104,0.6,0.6060606060606061,0.4090909090909091,0.2,0.76,0.7105263157894737,0.5833333333333334,0.0,0
Christian Harrison,Hubert Hurkacz,Hard,20210104,0.6571428571428571,0.6304347826086957,0.5416666666666666,0.6,0.6285714285714286,0.6818181818181818,0.5769230769230769,0.6666666666666666,0
Cameron Norrie,Sebastian Korda,Hard,20210104,0.625,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.6,0.8055555555555556,0.4583333333333333,0.0,0
Gianluca Mager,Christian Harrison,Hard,20210104,0.5421686746987951,0.7555555555555555,0.47368421052631576,0.8181818181818182,0.6811594202898551,0.8297872340425532,0.5454545454545454,0.75,0
Roberto Quiroz,Hubert Hurkacz,Hard,20210104,0.6323529411764706,0.6511627906976745,0.4,0.7,0.7222222222222222,0.7435897435897436,0.5333333333333333,0.6666666666666666,0
Frances Tiafoe,Cameron Norrie,Hard,20210104,0.6041666666666666,0.6551724137931034,0.42105263157894735,0.7058823529411765,0.6282051282051282,0.7551020408163265,0.41379310344827586,0.8181818181818182,0
John Isner,Sebastian Korda,Hard,20210104,0.7228915662650602,0.65,0.5217391304347826,0.5714285714285714,0.6049382716049383,0.8163265306122449,0.59375,0.8333333333333334,0
Cristian Garin,Christian Harrison,Hard,20210104,0.6197183098591549,0.5909090909090909,0.4074074074074074,0.6363636363636364,0.6666666666666666,0.6904761904761905,0.6190476190476191,0.6666666666666666,0
