match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,surface,tourney_level,best_of,round
53,2021-01-05,Jan Lennard Struff,Jeremy Chardy,0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-4.0,0.0,-12.0,-24.0,0.0,0.0,-0.0329670329670329,0.0,0.0,Hard,A,3,QF
54,2021-01-05,Alexander Bublik,Matteo Berrettini,1,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0,0.0,12.0,24.0,0.0,0.0,0.0615384615384615,0.0,0.0,Hard,A,3,QF
55,2021-01-05,Alex De Minaur,David Goffin,1,0.0,0.0,0.25,0.25,5.0,0.0,12.0,24.0,0.0,0.0,0.0952380952380952,0.0,0.0,Hard,A,3,SF
43,2021-01-05,David Goffin,Nicola Kuhn,1,0.0,0.0,0.0,0.0,3.0,0.0,12.0,24.0,0.0,0.0,0.0714285714285714,0.0,0.0,Hard,A,3,R16
50,2021-01-05,Dimitar Kuzmanov,Matteo Berrettini,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-24.0,0.0,0.0,-0.0384615384615384,0.0,0.0,Hard,A,3,R16
42,2021-01-05,Ergi Kirkin,Matteo Berrettini,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0839160839160839,0.0,0.0,Hard,A,3,R32
56,2021-01-05,Alexander Bublik,Jeremy Chardy,1,0.0,0.0,0.25,0.25,5.0,0.0,12.0,24.0,0.0,0.0,0.0285714285714285,0.0,0.0,Hard,A,3,SF
40,2021-01-05,Egor Gerasimov,Tristan Lamasine,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R32
41,2021-01-05,Dimitar Kuzmanov,Laslo Djere,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R32
27,2021-01-05,David Goffin,Pierre Hugues Herbert,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.1168831168831168,0.0,0.0,Hard,A,3,R32
29,2021-01-05,Emil Ruusuvuori,Jiri Vesely,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R32
30,2021-01-05,Miomir Kecmanovic,Stefano Travaglia,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0839160839160839,0.0,0.0,Hard,A,3,R32
31,2021-01-05,Alex De Minaur,Malek Jaziri,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.2121212121212121,0.0,0.0,Hard,A,3,R32
32,2021-01-05,Adrian Andreev,Marsel Ilhan,1,0.0,0.0,0.0,0.0,2.0,0.0,12.0,12.0,0.0,0.0,0.0454545454545454,0.0,0.0,Hard,A,3,R32
28,2021-01-05,Matthias Bachinger,Nicola Kuhn,0,0.0,0.0,0.0,0.0,-2.0,0.0,-12.0,-12.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R32
34,2021-01-05,Andrea Arnaboldi,Nikoloz Basilashvili,0,0.0,0.0,0.0,0.0,-2.0,0.0,-12.0,-12.0,0.0,0.0,-0.0839160839160839,0.0,0.0,Hard,A,3,R32
