player,matches,wins,losses,avg_rest_days,rolling_10_winrate_latest,win_rate,peak_elo,current_elo,last_match_date,days_since_last,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,surf_matches_Other,wr_Clay,wr_Grass,wr_Hard,wr_Other,current_selo_Clay,current_selo_Grass,current_selo_Hard
Bu Yunchaokete,18,10,8,12.222222222222221,0.7,0.5556,1589.1646842167531,1568.258685850668,2024-11-04,44,1,0,17,0,0.0,,0.5882,,1500.0,,1541.123040235731
Botic Van De Zandschulp,186,95,91,7.78494623655914,0.4,0.5108,1703.5030501505619,1567.5165295406102,2024-11-24,24,42,19,125,0,0.5238,0.4737,0.512,,1505.6257420838795,1496.85136521403,1523.2648612134894
Pablo Carreno Busta,499,278,221,7.206412825651302,0.6,0.5571,1785.4138545078197,1566.8289158936243,2024-10-02,77,203,20,276,0,0.5616,0.3,0.5725,,1501.9831863534703,1499.8776312895695,1537.1530495830234
Lorenzo Sonego,298,143,155,7.580536912751678,0.3,0.4799,1676.9367795563785,1566.6860730139615,2024-11-04,44,106,38,154,0,0.5,0.5526,0.4481,,1490.4927223159727,1503.3774358649018,1512.406632495656
Sebastian Baez,179,91,88,7.016759776536313,0.2,0.5084,1691.1240302392368,1563.7117491478625,2024-11-21,27,105,10,64,0,0.6476,0.3,0.3125,,1603.5667463143632,1483.2761459798992,1452.1954891333737
Hamad Medjedovic,39,21,18,18.974358974358974,0.6,0.5385,1596.5731903190715,1561.254133598261,2024-11-04,44,18,3,18,0,0.3889,0.3333,0.7222,,1499.2699389426,1497.0756709121786,1544.0854446504725
Dusan Lajovic,461,204,257,9.23644251626898,0.4,0.4425,1657.9485628779312,1560.3841805443753,2024-11-04,44,228,24,209,0,0.5044,0.25,0.3971,,1535.433107675779,1496.0982218046267,1484.5166733999097
Fabian Marozsan,72,34,38,9.666666666666666,0.4,0.4722,1642.8572482565644,1559.3013059206994,2024-11-04,44,19,6,47,0,0.4737,0.1667,0.5106,,1499.751718251608,1484.0631647364378,1539.8020401020185
Kei Nishikori,612,417,195,6.148692810457517,0.6,0.6814,1945.7414954778967,1557.3032451300758,2024-10-21,58,153,61,398,0,0.6863,0.6393,0.6859,,1500.1307683869545,1500.0000570829272,1527.8606753480844
Laslo Djere,293,143,150,9.208191126279864,0.6,0.4881,1663.9772597246756,1557.1685836318563,2024-11-04,44,158,21,114,0,0.5823,0.3333,0.386,,1510.2179067012498,1493.2317561215125,1521.7511040330362
Nicolas Jarry,228,116,112,10.850877192982455,0.3,0.5088,1701.1931802560832,1555.958106708538,2024-10-28,51,119,18,91,0,0.5966,0.4444,0.4066,,1545.8905196264673,1502.7463921930719,1512.8993637696883
Cristian Garin,251,130,121,11.258964143426295,0.4,0.5179,1681.521100576662,1552.8349842833222,2024-09-15,94,143,19,89,0,0.6084,0.4737,0.382,,1535.0702735837338,1500.2489704697352,1484.2027897453386
Stan Wawrinka,636,404,232,6.8569182389937104,0.5,0.6352,1907.4068362974308,1552.3871565716643,2024-11-04,44,192,51,393,0,0.6458,0.5294,0.6438,,1492.5775145787077,1501.7706376427875,1513.5991151085334
Thiago Seyboth Wild,79,33,46,13.987341772151899,0.4,0.4177,1561.843597578837,1552.2740816564842,2024-10-21,58,49,4,26,0,0.449,0.5,0.3462,,1499.8961256945126,1507.3125846767257,1501.8412930792338
Alexander Bublik,302,152,150,8.099337748344372,0.2,0.5033,1709.1521481495276,1551.8413167535184,2024-10-28,51,53,52,197,0,0.3962,0.6346,0.4975,,1490.1070854621391,1522.0489678541917,1520.9908425193992
Alex Molcan,95,50,45,10.821052631578947,0.5,0.5263,1652.8109734103084,1549.9348309267102,2024-02-26,296,49,7,39,0,0.6327,0.4286,0.4103,,1543.6296110901526,1500.2197556326705,1487.8254227967755
Alexander Shevchenko,86,38,48,9.069767441860465,0.5,0.4419,1591.6707933921607,1548.4670954750604,2024-11-04,44,28,4,54,0,0.4286,0.25,0.463,,1492.3224703844915,1497.3580718357844,1515.957279642548
Marin Cilic,696,448,248,6.245689655172414,0.6,0.6437,1881.5853078691935,1547.8170206272068,2024-11-04,44,171,89,436,0,0.6316,0.7416,0.6284,,1501.8934790485791,1537.9372402675963,1517.3565285807413
Rinky Hijikata,64,28,36,12.171875,0.6,0.4375,1567.060318103858,1546.1968252277736,2024-10-02,77,6,14,44,0,0.1667,0.5,0.4545,,1480.8149631637716,1498.4414950778635,1520.6293243489388
Zizou Bergs,60,23,37,16.816666666666666,0.6,0.3833,1556.8399544207427,1544.6351763479727,2024-11-04,44,16,4,40,0,0.375,0.25,0.4,,1488.8726849809816,1500.0010049897517,1511.0928324418576
Quentin Halys,97,35,62,19.34020618556701,0.5,0.3608,1581.632560925724,1543.3576489381333,2024-11-04,44,23,11,63,0,0.3913,0.5455,0.3175,,1527.9933128593634,1501.6173499867023,1483.3528858464927
Aleksandar Vukic,94,41,53,11.574468085106384,0.6,0.4362,1582.1197506490585,1542.3685013126358,2024-10-14,65,13,18,63,0,0.3077,0.5556,0.4286,,1484.3933063679758,1530.7580438079124,1500.475106073845
Arthur Rinderknech,157,74,83,8.872611464968152,0.5,0.4713,1620.9795212062438,1540.2449017191284,2024-10-28,51,41,19,97,0,0.4634,0.3684,0.4948,,1487.4890316565313,1487.740034038362,1527.1214779870425
Alexandre Muller,66,27,39,13.484848484848484,0.5,0.4091,1568.9133501249414,1540.2427533916834,2024-11-04,44,27,4,35,0,0.4444,0.5,0.3714,,1508.5072454726076,1507.2150269478914,1489.9024124866169
Marcelo Arevalo,43,31,12,35.325581395348834,0.9,0.7209,1578.2861013212523,1539.8341573949413,2024-09-14,95,11,0,30,2,0.4545,,0.8,1.0,1509.5371188451195,,1502.1935371457423
Timofey Skatov,17,8,9,34.88235294117647,0.6,0.4706,1559.240117702337,1538.8619737472818,2024-10-14,65,8,0,9,0,0.75,,0.2222,,1530.7947518070246,,1493.711977293376
Michael Mmoh,70,29,41,20.742857142857144,0.6,0.4143,1580.466693932487,1537.5385208314885,2024-04-01,261,9,4,57,0,0.3333,0.25,0.4386,,1508.602471642064,1499.9999999998763,1533.5520617979973
Gabriel Diallo,26,11,15,22.23076923076923,0.6,0.4231,1545.7734797220064,1537.1468378551501,2024-11-20,28,1,2,23,0,0.0,0.0,0.4783,,1500.0,1497.4152653070255,1517.8037775033395
Thiago Monteiro,222,92,130,11.64864864864865,0.3,0.4144,1599.8125374617289,1535.9106132243487,2024-11-04,44,132,9,80,1,0.4773,0.2222,0.325,1.0,1518.2723008958583,1496.3228021775903,1476.902038785449
