player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,last_match_date,win_rate,peak_elo,current_elo,current_selo_Clay,current_selo_Grass,current_selo_Hard,wr_Clay,wr_Grass,wr_Hard,Other_x,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,Other_y,days_since_last
Miomir Kecmanovic,293,145,148,7.194539249146757,7,0.5,0.4,-1,2024-11-04,0.4949,1663.298748608,1577.070775693374,1506.9768316997151,1502.6110686114357,1513.718817860777,0.5132,0.4688,0.4919,,76.0,32.0,185.0,0.0,44
Cameron Norrie,365,209,156,6.668493150684932,6,0.6,0.8,-1,2024-11-04,0.5726,1791.180707093647,1576.0414536842206,1541.715878304746,1500.1296008263078,1535.7878297011673,0.6162,0.5366,0.56,,99.0,41.0,225.0,0.0,44
Roman Safiullin,107,50,57,11.738317757009346,2,0.6,0.6,-1,2024-11-04,0.4673,1647.76436715958,1573.4750313674201,1473.7482830764698,1505.693297169345,1525.812511575696,0.4286,0.5385,0.4658,,21.0,13.0,73.0,0.0,44
Joao Fonseca,20,12,8,16.6,4,0.7,1.0,6,2024-12-18,0.6,1570.5876971360135,1570.5876971360135,1504.534943069149,1500.0,1541.9492703868968,0.4545,0.0,0.875,,11.0,1.0,8.0,0.0,0
Alejandro Tabilo,113,58,55,10.070796460176991,7,0.4,0.6,-1,2024-10-28,0.5133,1675.3637094210703,1570.2532804718649,1519.7448945003007,1524.585153045525,1504.6436763809731,0.5435,0.5714,0.4717,,46.0,14.0,53.0,0.0,51
Roberto Carballes Baena,265,118,147,10.30566037735849,3,0.5,0.4,-1,2024-11-04,0.4453,1582.0066005207261,1567.3483237312873,1526.6564370783635,1496.7820932423347,1489.258889500765,0.5,0.2353,0.3718,,170.0,17.0,78.0,0.0,44
Zhizhen Zhang,114,55,59,10.263157894736842,3,0.4,0.0,-1,2024-10-28,0.4825,1631.738053973029,1566.4482465993378,1534.2953617801866,1498.238061279514,1495.4538930574502,0.5833,0.4286,0.4375,,36.0,14.0,64.0,0.0,51
Bu Yunchaokete,18,10,8,12.222222222222221,2,0.7,0.6,0,2024-11-04,0.5556,1585.9208647109608,1564.7112254675667,1500.0,1500.0,1530.749184748343,0.0,,0.5882,,1.0,0.0,17.0,0.0,44
Milos Raonic,573,384,189,6.834205933682373,0,0.6,0.6,-1,2024-07-29,0.6702,1900.1226663240175,1562.8976558699303,1500.000004806999,1512.4450856171525,1513.3765796432385,0.6373,0.6667,0.6795,,102.0,81.0,390.0,0.0,142
Nuno Borges,89,39,50,10.820224719101123,2,0.4,0.4,-1,2024-11-04,0.4382,1591.758270077865,1562.615190388076,1535.6690837492586,1482.6327773642956,1505.1519261662786,0.5161,0.0,0.4423,,31.0,6.0,52.0,0.0,44
Juncheng Shang,62,29,33,12.629032258064516,2,0.3,0.0,-1,2024-12-18,0.4677,1648.7727182357182,1562.487327246518,1492.3709981681116,1512.0688889699697,1523.9724228743091,0.1667,0.6,0.4902,,6.0,5.0,51.0,0.0,0
Pablo Carreno Busta,499,278,221,7.206412825651302,2,0.6,0.4,-1,2024-10-02,0.5571,1769.0566535587704,1562.1314699787863,1502.1516996186922,1499.8232539847493,1538.704144688725,0.5616,0.3,0.5725,,203.0,20.0,276.0,0.0,77
Dominik Koepfer,133,60,73,11.842105263157896,0,0.4,0.4,-1,2024-10-14,0.4511,1587.8056431308905,1561.797968097775,1489.1287938006926,1500.9583739590764,1524.4186245045844,0.4634,0.3333,0.4675,,41.0,15.0,77.0,0.0,65
Marton Fucsovics,325,161,164,10.855384615384615,3,0.2,0.2,-1,2024-11-04,0.4954,1671.7445588586709,1559.003486411586,1517.7367869821007,1506.6800018077136,1494.8458341109185,0.5275,0.4706,0.485,,91.0,34.0,200.0,0.0,44
Botic Van De Zandschulp,186,95,91,7.78494623655914,2,0.4,0.6,0,2024-11-24,0.5108,1692.0812678365771,1556.711591911459,1504.6038889139404,1491.0390913594947,1519.6708827570396,0.5238,0.4737,0.512,,42.0,19.0,125.0,0.0,24
Lorenzo Sonego,298,143,155,7.580536912751678,5,0.3,0.4,-1,2024-11-04,0.4799,1665.269791042936,1555.7354229967834,1503.9906161184097,1496.9279765975896,1510.509897094299,0.5,0.5526,0.4481,,106.0,38.0,154.0,0.0,44
Hamad Medjedovic,39,21,18,18.974358974358974,4,0.6,0.8,-1,2024-11-04,0.5385,1589.2817108790168,1553.7501402239639,1499.8572780079226,1497.576172939705,1526.1688090013802,0.3889,0.3333,0.7222,,18.0,3.0,18.0,0.0,44
Kei Nishikori,612,417,195,6.148692810457517,5,0.6,0.6,-1,2024-10-21,0.6814,1924.1784612076153,1553.0673864929731,1500.1654062713633,1500.0005227987228,1529.9160385977925,0.6863,0.6393,0.6859,,153.0,61.0,398.0,0.0,58
Sebastian Baez,179,91,88,7.016759776536313,1,0.2,0.0,-1,2024-11-21,0.5084,1683.1276117251812,1552.7692248499854,1598.7968635414024,1485.193145144116,1450.4056403109976,0.6476,0.3,0.3125,,105.0,10.0,64.0,0.0,27
